zpid,price,price_sqft,bedrooms,bathrooms,livingArea,yearBuilt,rentZestimate,rentZestimate_sqft,MeanPricesnearbyHomes,MeanbathroomsnerabyHomes,MeanbedroomsnerabyHomes,MeanlivingAreanerabyHomes,SCHOOLSMeandistance,pageViewCount,favoriteCount,daysOnZillow,dia_semana,ADULTCOM,ANNUALDUES_FEE,WAITINGPERIOD,longitude,latitude,predictions,predictions_LASSO,predictions_ML,D_Safe_Conv_Location,D_Recently_Renovated,D_Ready_To_Move,D_Requires_Repairs,D_Special_Features,D_Not_Free_Litigation,D_More_Than_One_Unit,D_Investors,D_Airbnb,Diff_Prices,Diff_p,VPN,amount,profit_all,ht,Labels,model,task_main_id
201623352,4400000,1513.5878912968697,4.0,5.0,2907,2022,7942,2.7320261437908497,1751175.0,2.2857142857142856,3.142857142857143,2382.0,8.65,1470,43,80,1,0,0,0,-81.565384,24.63803,4555997.457016089,4243119.637190523,4576752.613897296,1,1,1,1,0,1,1,1,1,156880.36280947737,3.5654627911244856,60904.67844820594,-90807.40680809086,-2.063804700183883,1,3,predictions_LASSO,fb65c8a5-7a16-4222-a8ba-86f2bfed94f2
45797302,2995000,1203.7781350482314,4.0,4.0,2488,1994,7816,3.1414790996784565,2507549.625,3.2142857142857144,3.0,1959.5714285714287,2.266666666666667,751,12,110,6,0,0,0,-81.80595,24.555632,1872774.2600738108,2834950.010577333,2151049.6010278943,0,0,0,0,1,0,0,1,0,160049.98942266684,5.343906157685036,59938.42442094907,-94289.67248200835,-3.148236142971898,3,0,predictions_LASSO,fb65c8a5-7a16-4222-a8ba-86f2bfed94f2
2056181625,2400000,1500.0,4.0,3.0,1600,1985,0,0.0,1474900.0,2.5,3.375,1876.625,0.55,484,11,9,2,0,0,0,-80.53561,24.99958,1902903.8502207026,2237159.1207894264,1993908.548017498,1,0,1,1,1,1,1,1,1,162840.87921057362,6.785036633773901,0.0,-141671.56491319905,-5.902981871383293,1,3,predictions_LASSO,fb65c8a5-7a16-4222-a8ba-86f2bfed94f2
457297786,3400000,1129.1929591497842,5.0,5.0,3011,2026,0,0.0,2956250.0,5.0,4.571428571428571,3012.4285714285716,10.55,111,6,5,6,0,0,0,-80.9341,24.772388,3755933.154819056,3234206.2001004615,4036361.0630439986,0,0,0,1,0,0,0,0,0,165793.7998995385,4.876288232339368,0.0,-144240.60591259852,-4.242370762135251,1,0,predictions_LASSO,fb65c8a5-7a16-4222-a8ba-86f2bfed94f2
449864198,2699000,1342.7860696517414,3.0,3.0,2010,1987,6091,3.030348258706468,1303525.875,2.25,3.625,2253.8571428571427,0.7,586,15,125,5,0,0,0,-80.54989,24.989223,2771335.9027543887,2526852.0614918787,2896061.0962966452,1,0,0,0,0,0,1,0,0,172147.9385081213,6.378211875069333,46709.946666837364,-114736.24650193751,-4.251065079730919,1,0,predictions_LASSO,fb65c8a5-7a16-4222-a8ba-86f2bfed94f2
201630592,2900000,1394.2307692307693,4.0,4.0,2080,2022,0,0.0,1710695.375,3.125,3.0,1771.5714285714287,3.0,346,13,94,1,0,0,0,-81.04561,24.730545,2434645.5279859947,2725528.259099204,2595076.7496299744,1,0,0,0,0,0,0,1,0,174471.7409007959,6.016266927613652,0.0,-151790.41458369244,-5.234152227023877,1,0,predictions_LASSO,fb65c8a5-7a16-4222-a8ba-86f2bfed94f2
306090986,3899000,2367.3345476624163,4.0,2.0,1647,1972,0,0.0,585495.75,2.4166666666666665,2.5,1350.8333333333333,23.35,470,24,170,2,0,0,0,-80.84827,24.803349,3290972.1089796913,3707227.155753923,3121773.5622071973,1,1,1,1,1,1,1,1,1,191772.8442460769,4.918513573892713,0.0,-166842.3744940869,-4.27910680928666,5,3,predictions_LASSO,fb65c8a5-7a16-4222-a8ba-86f2bfed94f2
449330190,2800000,1059.4021944759743,4.0,4.0,2643,2026,7737,2.927355278093076,975000.0,2.125,2.25,1783.2,2.35,109,2,322,4,0,0,0,-81.05284,24.722874,2554325.073762139,2599778.273465028,2671677.697720505,0,1,0,0,0,0,0,0,0,200221.726534972,7.1507759476775705,59332.59848322454,-129693.45322300722,-4.63190904367883,1,0,predictions_LASSO,fb65c8a5-7a16-4222-a8ba-86f2bfed94f2
45832792,7975000,3190.0,4.0,4.0,2500,1979,7518,3.0072,6708775.0,3.5,2.5,2772.625,21.0,625,6,109,0,0,0,0,-80.2706,25.322712,6512322.339265084,7771954.4306919575,6819284.906600005,1,0,0,1,0,0,1,1,0,203045.56930804253,2.54602594743627,57653.15695965905,-133409.77757825272,-1.672849875589376,2,3,predictions_LASSO,fb65c8a5-7a16-4222-a8ba-86f2bfed94f2
62725614,7495000,1873.75,5.0,7.0,4000,2023,7160,1.79,2720384.0,3.9285714285714284,4.285714285714286,3309.285714285714,1.9666666666666668,2507,103,353,1,0,0,0,-81.80152,24.55779,8014517.608032737,7289723.621237426,7009023.907374009,0,0,1,0,0,0,1,1,0,205276.37876257396,2.738844279687444,54907.76853300863,-137409.62312368283,-1.8333505420104448,1,2,predictions_LASSO,fb65c8a5-7a16-4222-a8ba-86f2bfed94f2
45821000,5600000,2259.8870056497176,4.0,4.0,2478,1968,7570,3.0548829701372076,3395562.5,3.375,3.5714285714285716,2292.4285714285716,15.8,795,18,82,6,0,0,0,-80.74066,24.854452,5009864.449867997,5390131.261169768,5293353.5852614,0,1,1,1,0,0,1,1,1,209868.7388302321,3.747656050539858,58051.928462971395,-139046.85643507334,-2.482979579197738,1,3,predictions_LASSO,fb65c8a5-7a16-4222-a8ba-86f2bfed94f2
